 ;2;3;4;5;6;7;8;9
3;11,1849286;24,8683798;50,502668;112,8790756;235,2669322;459,818878;850,3830964;1926,423932
4;4,7686974;4,2527298;3,8298324;3,6040894;3,3999498;3,1742872;2,9460366;2,8787436
5;11,413784;17,8058088;30,938899;57,37332;110,593416;217,2830466;430,5780604;857,6144524
6;4,7104;4,2539992;3,9431642;3,7307816;3,5043452;3,2779384;3,2384858;3,0798454
9;4,598029;11,0265374;17,7409428;37,9861062;72,0253388;147,0842168;290,0978886;583,9611094
10;4,4867844;4,0344886;3,7445836;3,5347064;3,3675782;3,234258;3,0361826;2,9743174
11_1;4,610592;7,6257326;13,8944378;26,9271584;51,7209808;103,7462572;187,5610264;397,9321316
11_2;8,0272298;10,9765148;17,2060522;30,214427;54,9275696;107,0368372;190,5094512;401,1479104
12;4,4758278;4,1076496;3,8828654;3,754717;3,568639;3,5408426;3,1434414;3,3145786
13;4,623029;10,9735514;17,2145906;36,7971546;67,7738218;139,3119906;248,9227504;531,8888856
14;4,506394;4,1488094;3,8956478;3,766677;3,5967324;3,5634402;3,1761026;3,343248
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
; ;4;6;10;12;;;
;2;4,7686974;4,7104;4,4867844;4,4758278;;;
;3;4,2527298;4,2539992;4,0344886;4,1076496;;;
;4;3,8298324;3,9431642;3,7445836;3,8828654;;;
;5;3,6040894;3,7307816;3,5347064;3,754717;;;
;6;3,3999498;3,5043452;3,3675782;3,568639;;;
;7;3,1742872;3,2779384;3,234258;3,5408426;;;
;8;2,9460366;3,2384858;3,0361826;3,1434414;;;
;9;2,8787436;3,0798454;2,9743174;3,3145786;;;
