 ;3;5;7;9;
3;2,604725;11,51184;53,2060625;245,8502275;
4;0,171635;0,093175;0,0449725;0,01678;
5;1,38442;4,8089975;21,818745;72,4377175;
6;0,157815;0,2081475;0,1266675;0,404805;
7_1;0,450135;0,4350075;0,376465;0,33346;
7_2;0,426875;0,4051075;0,3657375;0,3627575;
8;0,3663425;0,31107;0,39194;0,3196175;
9;0,9197525;3,2444475;14,463065;52,16313;
10;0,24953;0,14535;0,13104;0,05933;
11_1;0,7502125;1,9404825;5,05317;12,4527125;
11_2;1,0703825;2,1996075;3,8272925;13,98147;
12;0,32279;0,31208;0,374765;0,3685325;
13;1,0710525;2,65177;4,735335;17,54618;
14;0,349325;0,2251675;0,062435;0,06589;
